run_id,model,problem_id,sample,generated_code_path,raw_response_path,prompt_path,generated_code_sha256,raw_response_sha256
p1__gemma3_12b__s0,Gemma 3 12B,1,0,gemma/original_outputs/generated_code/p1__gemma3_12b__s0.py,gemma/original_outputs/responses/p1__gemma3_12b__s0_raw.txt,gemma/original_outputs/prompts/p1_prompt.txt,ad118c951570bb7be72b6e97de100050acb18a179290193794fa87149aa0ff5e,be0dd1f3be9a3d1a4c60d447d8f73a04a6b526016e7c62e26ffe64abc1e34226
p1__gemma3_12b__s1,Gemma 3 12B,1,1,gemma/original_outputs/generated_code/p1__gemma3_12b__s1.py,gemma/original_outputs/responses/p1__gemma3_12b__s1_raw.txt,gemma/original_outputs/prompts/p1_prompt.txt,ad118c951570bb7be72b6e97de100050acb18a179290193794fa87149aa0ff5e,be0dd1f3be9a3d1a4c60d447d8f73a04a6b526016e7c62e26ffe64abc1e34226
p1__gemma3_12b__s2,Gemma 3 12B,1,2,gemma/original_outputs/generated_code/p1__gemma3_12b__s2.py,gemma/original_outputs/responses/p1__gemma3_12b__s2_raw.txt,gemma/original_outputs/prompts/p1_prompt.txt,ad118c951570bb7be72b6e97de100050acb18a179290193794fa87149aa0ff5e,be0dd1f3be9a3d1a4c60d447d8f73a04a6b526016e7c62e26ffe64abc1e34226
p1__gemma3_12b__s3,Gemma 3 12B,1,3,gemma/original_outputs/generated_code/p1__gemma3_12b__s3.py,gemma/original_outputs/responses/p1__gemma3_12b__s3_raw.txt,gemma/original_outputs/prompts/p1_prompt.txt,ad118c951570bb7be72b6e97de100050acb18a179290193794fa87149aa0ff5e,be0dd1f3be9a3d1a4c60d447d8f73a04a6b526016e7c62e26ffe64abc1e34226
p1__gemma3_12b__s4,Gemma 3 12B,1,4,gemma/original_outputs/generated_code/p1__gemma3_12b__s4.py,gemma/original_outputs/responses/p1__gemma3_12b__s4_raw.txt,gemma/original_outputs/prompts/p1_prompt.txt,ad118c951570bb7be72b6e97de100050acb18a179290193794fa87149aa0ff5e,be0dd1f3be9a3d1a4c60d447d8f73a04a6b526016e7c62e26ffe64abc1e34226
p1__gemma3_12b__s5,Gemma 3 12B,1,5,gemma/original_outputs/generated_code/p1__gemma3_12b__s5.py,gemma/original_outputs/responses/p1__gemma3_12b__s5_raw.txt,gemma/original_outputs/prompts/p1_prompt.txt,ad118c951570bb7be72b6e97de100050acb18a179290193794fa87149aa0ff5e,be0dd1f3be9a3d1a4c60d447d8f73a04a6b526016e7c62e26ffe64abc1e34226
p1__gemma3_12b__s6,Gemma 3 12B,1,6,gemma/original_outputs/generated_code/p1__gemma3_12b__s6.py,gemma/original_outputs/responses/p1__gemma3_12b__s6_raw.txt,gemma/original_outputs/prompts/p1_prompt.txt,ad118c951570bb7be72b6e97de100050acb18a179290193794fa87149aa0ff5e,be0dd1f3be9a3d1a4c60d447d8f73a04a6b526016e7c62e26ffe64abc1e34226
p1__gemma3_12b__s7,Gemma 3 12B,1,7,gemma/original_outputs/generated_code/p1__gemma3_12b__s7.py,gemma/original_outputs/responses/p1__gemma3_12b__s7_raw.txt,gemma/original_outputs/prompts/p1_prompt.txt,ad118c951570bb7be72b6e97de100050acb18a179290193794fa87149aa0ff5e,be0dd1f3be9a3d1a4c60d447d8f73a04a6b526016e7c62e26ffe64abc1e34226
p1__gemma3_12b__s8,Gemma 3 12B,1,8,gemma/original_outputs/generated_code/p1__gemma3_12b__s8.py,gemma/original_outputs/responses/p1__gemma3_12b__s8_raw.txt,gemma/original_outputs/prompts/p1_prompt.txt,ad118c951570bb7be72b6e97de100050acb18a179290193794fa87149aa0ff5e,be0dd1f3be9a3d1a4c60d447d8f73a04a6b526016e7c62e26ffe64abc1e34226
p1__gemma3_12b__s9,Gemma 3 12B,1,9,gemma/original_outputs/generated_code/p1__gemma3_12b__s9.py,gemma/original_outputs/responses/p1__gemma3_12b__s9_raw.txt,gemma/original_outputs/prompts/p1_prompt.txt,ad118c951570bb7be72b6e97de100050acb18a179290193794fa87149aa0ff5e,be0dd1f3be9a3d1a4c60d447d8f73a04a6b526016e7c62e26ffe64abc1e34226
p2__gemma3_12b__s0,Gemma 3 12B,2,0,gemma/original_outputs/generated_code/p2__gemma3_12b__s0.py,gemma/original_outputs/responses/p2__gemma3_12b__s0_raw.txt,gemma/original_outputs/prompts/p2_prompt.txt,82fa0875ed018f88c6df8fd93e857b90de45ca0b54c9d54fcbdb9c3d3287539a,bd1c8af78e222a20796bc1a024cac12e31f148e86a04cc9eee1500acf0fd1c38
p2__gemma3_12b__s1,Gemma 3 12B,2,1,gemma/original_outputs/generated_code/p2__gemma3_12b__s1.py,gemma/original_outputs/responses/p2__gemma3_12b__s1_raw.txt,gemma/original_outputs/prompts/p2_prompt.txt,82fa0875ed018f88c6df8fd93e857b90de45ca0b54c9d54fcbdb9c3d3287539a,bd1c8af78e222a20796bc1a024cac12e31f148e86a04cc9eee1500acf0fd1c38
p2__gemma3_12b__s2,Gemma 3 12B,2,2,gemma/original_outputs/generated_code/p2__gemma3_12b__s2.py,gemma/original_outputs/responses/p2__gemma3_12b__s2_raw.txt,gemma/original_outputs/prompts/p2_prompt.txt,82fa0875ed018f88c6df8fd93e857b90de45ca0b54c9d54fcbdb9c3d3287539a,bd1c8af78e222a20796bc1a024cac12e31f148e86a04cc9eee1500acf0fd1c38
p2__gemma3_12b__s3,Gemma 3 12B,2,3,gemma/original_outputs/generated_code/p2__gemma3_12b__s3.py,gemma/original_outputs/responses/p2__gemma3_12b__s3_raw.txt,gemma/original_outputs/prompts/p2_prompt.txt,82fa0875ed018f88c6df8fd93e857b90de45ca0b54c9d54fcbdb9c3d3287539a,bd1c8af78e222a20796bc1a024cac12e31f148e86a04cc9eee1500acf0fd1c38
p2__gemma3_12b__s4,Gemma 3 12B,2,4,gemma/original_outputs/generated_code/p2__gemma3_12b__s4.py,gemma/original_outputs/responses/p2__gemma3_12b__s4_raw.txt,gemma/original_outputs/prompts/p2_prompt.txt,82fa0875ed018f88c6df8fd93e857b90de45ca0b54c9d54fcbdb9c3d3287539a,bd1c8af78e222a20796bc1a024cac12e31f148e86a04cc9eee1500acf0fd1c38
p2__gemma3_12b__s5,Gemma 3 12B,2,5,gemma/original_outputs/generated_code/p2__gemma3_12b__s5.py,gemma/original_outputs/responses/p2__gemma3_12b__s5_raw.txt,gemma/original_outputs/prompts/p2_prompt.txt,82fa0875ed018f88c6df8fd93e857b90de45ca0b54c9d54fcbdb9c3d3287539a,bd1c8af78e222a20796bc1a024cac12e31f148e86a04cc9eee1500acf0fd1c38
p2__gemma3_12b__s6,Gemma 3 12B,2,6,gemma/original_outputs/generated_code/p2__gemma3_12b__s6.py,gemma/original_outputs/responses/p2__gemma3_12b__s6_raw.txt,gemma/original_outputs/prompts/p2_prompt.txt,82fa0875ed018f88c6df8fd93e857b90de45ca0b54c9d54fcbdb9c3d3287539a,bd1c8af78e222a20796bc1a024cac12e31f148e86a04cc9eee1500acf0fd1c38
p2__gemma3_12b__s7,Gemma 3 12B,2,7,gemma/original_outputs/generated_code/p2__gemma3_12b__s7.py,gemma/original_outputs/responses/p2__gemma3_12b__s7_raw.txt,gemma/original_outputs/prompts/p2_prompt.txt,82fa0875ed018f88c6df8fd93e857b90de45ca0b54c9d54fcbdb9c3d3287539a,bd1c8af78e222a20796bc1a024cac12e31f148e86a04cc9eee1500acf0fd1c38
p2__gemma3_12b__s8,Gemma 3 12B,2,8,gemma/original_outputs/generated_code/p2__gemma3_12b__s8.py,gemma/original_outputs/responses/p2__gemma3_12b__s8_raw.txt,gemma/original_outputs/prompts/p2_prompt.txt,82fa0875ed018f88c6df8fd93e857b90de45ca0b54c9d54fcbdb9c3d3287539a,bd1c8af78e222a20796bc1a024cac12e31f148e86a04cc9eee1500acf0fd1c38
p2__gemma3_12b__s9,Gemma 3 12B,2,9,gemma/original_outputs/generated_code/p2__gemma3_12b__s9.py,gemma/original_outputs/responses/p2__gemma3_12b__s9_raw.txt,gemma/original_outputs/prompts/p2_prompt.txt,82fa0875ed018f88c6df8fd93e857b90de45ca0b54c9d54fcbdb9c3d3287539a,bd1c8af78e222a20796bc1a024cac12e31f148e86a04cc9eee1500acf0fd1c38
p3__gemma3_12b__s0,Gemma 3 12B,3,0,gemma/original_outputs/generated_code/p3__gemma3_12b__s0.py,gemma/original_outputs/responses/p3__gemma3_12b__s0_raw.txt,gemma/original_outputs/prompts/p3_prompt.txt,e4bfb8117d7201bc66929459920cd6e930d095237e597fcc42d38ffc1111f28b,2d3a030f0b46ee39ce48c975ee81a16b555affa7d7d89513f3001bd11cb6b46e
p3__gemma3_12b__s1,Gemma 3 12B,3,1,gemma/original_outputs/generated_code/p3__gemma3_12b__s1.py,gemma/original_outputs/responses/p3__gemma3_12b__s1_raw.txt,gemma/original_outputs/prompts/p3_prompt.txt,e4bfb8117d7201bc66929459920cd6e930d095237e597fcc42d38ffc1111f28b,2d3a030f0b46ee39ce48c975ee81a16b555affa7d7d89513f3001bd11cb6b46e
p3__gemma3_12b__s2,Gemma 3 12B,3,2,gemma/original_outputs/generated_code/p3__gemma3_12b__s2.py,gemma/original_outputs/responses/p3__gemma3_12b__s2_raw.txt,gemma/original_outputs/prompts/p3_prompt.txt,e4bfb8117d7201bc66929459920cd6e930d095237e597fcc42d38ffc1111f28b,2d3a030f0b46ee39ce48c975ee81a16b555affa7d7d89513f3001bd11cb6b46e
p3__gemma3_12b__s3,Gemma 3 12B,3,3,gemma/original_outputs/generated_code/p3__gemma3_12b__s3.py,gemma/original_outputs/responses/p3__gemma3_12b__s3_raw.txt,gemma/original_outputs/prompts/p3_prompt.txt,e4bfb8117d7201bc66929459920cd6e930d095237e597fcc42d38ffc1111f28b,2d3a030f0b46ee39ce48c975ee81a16b555affa7d7d89513f3001bd11cb6b46e
p3__gemma3_12b__s4,Gemma 3 12B,3,4,gemma/original_outputs/generated_code/p3__gemma3_12b__s4.py,gemma/original_outputs/responses/p3__gemma3_12b__s4_raw.txt,gemma/original_outputs/prompts/p3_prompt.txt,e4bfb8117d7201bc66929459920cd6e930d095237e597fcc42d38ffc1111f28b,2d3a030f0b46ee39ce48c975ee81a16b555affa7d7d89513f3001bd11cb6b46e
p3__gemma3_12b__s5,Gemma 3 12B,3,5,gemma/original_outputs/generated_code/p3__gemma3_12b__s5.py,gemma/original_outputs/responses/p3__gemma3_12b__s5_raw.txt,gemma/original_outputs/prompts/p3_prompt.txt,e4bfb8117d7201bc66929459920cd6e930d095237e597fcc42d38ffc1111f28b,2d3a030f0b46ee39ce48c975ee81a16b555affa7d7d89513f3001bd11cb6b46e
p3__gemma3_12b__s6,Gemma 3 12B,3,6,gemma/original_outputs/generated_code/p3__gemma3_12b__s6.py,gemma/original_outputs/responses/p3__gemma3_12b__s6_raw.txt,gemma/original_outputs/prompts/p3_prompt.txt,e4bfb8117d7201bc66929459920cd6e930d095237e597fcc42d38ffc1111f28b,2d3a030f0b46ee39ce48c975ee81a16b555affa7d7d89513f3001bd11cb6b46e
