run_id,model,problem_id,original_problem_id,sample,label,raw_label,final_label,extraction_mode,code_ran,schema_ok,objective_match,has_build_model,failed_checks,failed_requirement_checks,formulation_violations,flagged_formulation_violations,audit_error,prompt_hash,response_time_sec,prompt_eval_count,eval_count,output_truncated,silent_bug_type,silent_bug_requirements,silent_bug_source,report_categories,total_requirement_count,layer1_requirement_count,canonical_layer1_requirement_count,layer2_active_probe_count,total_diagnostic_requirement_count,failed_requirement_check_count,formulation_violation_count,total_violation_count,error_type,error_detail
p1__gpt-5-nano__s0,gpt-5-nano,1,1,0,silent_bug,contract_failure,silent_bug,recovered_prose_slice,True,True,True,True,,,R3,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,57.961,1229,10083,False,structural_constraint_error,fviol:R3,formulation_only,constraint_misspecification,7,6,6,6,12,0,1,1,,
p1__gpt-5-nano__s1,gpt-5-nano,1,1,1,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,49.77,1229,8905,False,,,none,,7,6,6,6,12,0,0,0,,
p1__gpt-5-nano__s2,gpt-5-nano,1,1,2,silent_bug,contract_failure,silent_bug,recovered_prose_slice,True,True,True,True,,,R5,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,48.308,1229,8644,False,domain_relaxation,fviol:R5,formulation_only,domain_or_bound_error,7,6,6,6,12,0,1,1,,
p1__gpt-5-nano__s3,gpt-5-nano,1,1,3,loud_bug,contract_failure,loud_bug,recovered_prose_slice,True,True,False,True,"p1.R4.C1,p1.R7.C1,p1.R7.C2",p1.R4.C1,,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,47.908,1229,7708,False,,,none,,7,6,6,6,12,1,0,1,,
p1__gpt-5-nano__s4,gpt-5-nano,1,1,4,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,34.652,1229,6895,False,,,none,,7,6,6,6,12,0,0,0,,
p1__gpt-5-nano__s5,gpt-5-nano,1,1,5,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,57.343,1229,10668,False,,,none,,7,6,6,6,12,0,0,0,,
p1__gpt-5-nano__s6,gpt-5-nano,1,1,6,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,32.627,1229,5692,False,,,none,,7,6,6,6,12,0,0,0,,
p1__gpt-5-nano__s7,gpt-5-nano,1,1,7,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,42.726,1229,8168,False,,,none,,7,6,6,6,12,0,0,0,,
p1__gpt-5-nano__s8,gpt-5-nano,1,1,8,loud_bug,contract_failure,loud_bug,recovered_prose_slice,True,True,False,True,"p1.R4.C1,p1.R7.C1,p1.R7.C2",p1.R4.C1,,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,38.986,1229,6720,False,,,none,,7,6,6,6,12,1,0,1,,
p1__gpt-5-nano__s9,gpt-5-nano,1,1,9,silent_bug,contract_failure,silent_bug,recovered_prose_slice,True,True,True,True,,,R1,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,57.059,1229,9361,False,structural_constraint_error,fviol:R1,formulation_only,constraint_omission,7,6,6,6,12,0,1,1,,
