run_id,model,problem_id,sample,final_verdict,source_final_label
p1__chenyitian-shanshu_SIRL-Gurobi__s0,chenyitian-shanshu/SIRL-Gurobi,1,0,code_failure,code_failure
p1__chenyitian-shanshu_SIRL-Gurobi__s1,chenyitian-shanshu/SIRL-Gurobi,1,1,loud,loud_bug
p1__chenyitian-shanshu_SIRL-Gurobi__s2,chenyitian-shanshu/SIRL-Gurobi,1,2,code_failure,schema_failure
p1__chenyitian-shanshu_SIRL-Gurobi__s3,chenyitian-shanshu/SIRL-Gurobi,1,3,code_failure,schema_failure
p1__chenyitian-shanshu_SIRL-Gurobi__s4,chenyitian-shanshu/SIRL-Gurobi,1,4,code_failure,schema_failure
p1__chenyitian-shanshu_SIRL-Gurobi__s5,chenyitian-shanshu/SIRL-Gurobi,1,5,code_failure,schema_failure
p1__chenyitian-shanshu_SIRL-Gurobi__s6,chenyitian-shanshu/SIRL-Gurobi,1,6,code_failure,schema_failure
p1__chenyitian-shanshu_SIRL-Gurobi__s7,chenyitian-shanshu/SIRL-Gurobi,1,7,code_failure,schema_failure
p1__chenyitian-shanshu_SIRL-Gurobi__s8,chenyitian-shanshu/SIRL-Gurobi,1,8,loud,loud_bug
p1__chenyitian-shanshu_SIRL-Gurobi__s9,chenyitian-shanshu/SIRL-Gurobi,1,9,loud,loud_bug
p2__chenyitian-shanshu_SIRL-Gurobi__s0,chenyitian-shanshu/SIRL-Gurobi,2,0,code_failure,code_failure
p2__chenyitian-shanshu_SIRL-Gurobi__s1,chenyitian-shanshu/SIRL-Gurobi,2,1,code_failure,code_failure
p2__chenyitian-shanshu_SIRL-Gurobi__s2,chenyitian-shanshu/SIRL-Gurobi,2,2,code_failure,code_failure
p2__chenyitian-shanshu_SIRL-Gurobi__s3,chenyitian-shanshu/SIRL-Gurobi,2,3,loud,loud_bug
p2__chenyitian-shanshu_SIRL-Gurobi__s4,chenyitian-shanshu/SIRL-Gurobi,2,4,loud,loud_bug
p2__chenyitian-shanshu_SIRL-Gurobi__s5,chenyitian-shanshu/SIRL-Gurobi,2,5,loud,loud_bug
p2__chenyitian-shanshu_SIRL-Gurobi__s6,chenyitian-shanshu/SIRL-Gurobi,2,6,loud,loud_bug
p2__chenyitian-shanshu_SIRL-Gurobi__s7,chenyitian-shanshu/SIRL-Gurobi,2,7,loud,loud_bug
p2__chenyitian-shanshu_SIRL-Gurobi__s8,chenyitian-shanshu/SIRL-Gurobi,2,8,loud,loud_bug
p2__chenyitian-shanshu_SIRL-Gurobi__s9,chenyitian-shanshu/SIRL-Gurobi,2,9,loud,loud_bug
p3__chenyitian-shanshu_SIRL-Gurobi__s0,chenyitian-shanshu/SIRL-Gurobi,3,0,loud,loud_bug
p3__chenyitian-shanshu_SIRL-Gurobi__s1,chenyitian-shanshu/SIRL-Gurobi,3,1,loud,loud_bug
p3__chenyitian-shanshu_SIRL-Gurobi__s2,chenyitian-shanshu/SIRL-Gurobi,3,2,loud,loud_bug
p3__chenyitian-shanshu_SIRL-Gurobi__s3,chenyitian-shanshu/SIRL-Gurobi,3,3,code_failure,schema_failure
p3__chenyitian-shanshu_SIRL-Gurobi__s4,chenyitian-shanshu/SIRL-Gurobi,3,4,loud,loud_bug
p3__chenyitian-shanshu_SIRL-Gurobi__s5,chenyitian-shanshu/SIRL-Gurobi,3,5,loud,loud_bug
p3__chenyitian-shanshu_SIRL-Gurobi__s6,chenyitian-shanshu/SIRL-Gurobi,3,6,loud,loud_bug
p3__chenyitian-shanshu_SIRL-Gurobi__s7,chenyitian-shanshu/SIRL-Gurobi,3,7,loud,loud_bug
p3__chenyitian-shanshu_SIRL-Gurobi__s8,chenyitian-shanshu/SIRL-Gurobi,3,8,loud,loud_bug
p3__chenyitian-shanshu_SIRL-Gurobi__s9,chenyitian-shanshu/SIRL-Gurobi,3,9,loud,loud_bug
p4__chenyitian-shanshu_SIRL-Gurobi__s0,chenyitian-shanshu/SIRL-Gurobi,4,0,loud,loud_bug
p4__chenyitian-shanshu_SIRL-Gurobi__s1,chenyitian-shanshu/SIRL-Gurobi,4,1,loud,loud_bug
p4__chenyitian-shanshu_SIRL-Gurobi__s2,chenyitian-shanshu/SIRL-Gurobi,4,2,loud,loud_bug
p4__chenyitian-shanshu_SIRL-Gurobi__s3,chenyitian-shanshu/SIRL-Gurobi,4,3,loud,loud_bug
p4__chenyitian-shanshu_SIRL-Gurobi__s4,chenyitian-shanshu/SIRL-Gurobi,4,4,loud,loud_bug
p4__chenyitian-shanshu_SIRL-Gurobi__s5,chenyitian-shanshu/SIRL-Gurobi,4,5,loud,loud_bug
p4__chenyitian-shanshu_SIRL-Gurobi__s6,chenyitian-shanshu/SIRL-Gurobi,4,6,loud,loud_bug
p4__chenyitian-shanshu_SIRL-Gurobi__s7,chenyitian-shanshu/SIRL-Gurobi,4,7,loud,loud_bug
p4__chenyitian-shanshu_SIRL-Gurobi__s8,chenyitian-shanshu/SIRL-Gurobi,4,8,loud,loud_bug
p4__chenyitian-shanshu_SIRL-Gurobi__s9,chenyitian-shanshu/SIRL-Gurobi,4,9,loud,loud_bug
p5__chenyitian-shanshu_SIRL-Gurobi__s0,chenyitian-shanshu/SIRL-Gurobi,5,0,correct,correct
p5__chenyitian-shanshu_SIRL-Gurobi__s1,chenyitian-shanshu/SIRL-Gurobi,5,1,silent,silent_bug
p5__chenyitian-shanshu_SIRL-Gurobi__s2,chenyitian-shanshu/SIRL-Gurobi,5,2,correct,correct
p5__chenyitian-shanshu_SIRL-Gurobi__s3,chenyitian-shanshu/SIRL-Gurobi,5,3,correct,correct
p5__chenyitian-shanshu_SIRL-Gurobi__s4,chenyitian-shanshu/SIRL-Gurobi,5,4,correct,correct
p5__chenyitian-shanshu_SIRL-Gurobi__s5,chenyitian-shanshu/SIRL-Gurobi,5,5,code_failure,code_failure
p5__chenyitian-shanshu_SIRL-Gurobi__s6,chenyitian-shanshu/SIRL-Gurobi,5,6,correct,correct
p5__chenyitian-shanshu_SIRL-Gurobi__s7,chenyitian-shanshu/SIRL-Gurobi,5,7,correct,correct
p5__chenyitian-shanshu_SIRL-Gurobi__s8,chenyitian-shanshu/SIRL-Gurobi,5,8,correct,correct
p5__chenyitian-shanshu_SIRL-Gurobi__s9,chenyitian-shanshu/SIRL-Gurobi,5,9,silent,silent_bug
p6__chenyitian-shanshu_SIRL-Gurobi__s0,chenyitian-shanshu/SIRL-Gurobi,6,0,loud,loud_bug
p6__chenyitian-shanshu_SIRL-Gurobi__s1,chenyitian-shanshu/SIRL-Gurobi,6,1,code_failure,schema_failure
p6__chenyitian-shanshu_SIRL-Gurobi__s2,chenyitian-shanshu/SIRL-Gurobi,6,2,loud,loud_bug
p6__chenyitian-shanshu_SIRL-Gurobi__s3,chenyitian-shanshu/SIRL-Gurobi,6,3,code_failure,schema_failure
p6__chenyitian-shanshu_SIRL-Gurobi__s4,chenyitian-shanshu/SIRL-Gurobi,6,4,correct,correct
p6__chenyitian-shanshu_SIRL-Gurobi__s5,chenyitian-shanshu/SIRL-Gurobi,6,5,code_failure,code_failure
p6__chenyitian-shanshu_SIRL-Gurobi__s6,chenyitian-shanshu/SIRL-Gurobi,6,6,silent,silent_bug
p6__chenyitian-shanshu_SIRL-Gurobi__s7,chenyitian-shanshu/SIRL-Gurobi,6,7,code_failure,contract_failure
p6__chenyitian-shanshu_SIRL-Gurobi__s8,chenyitian-shanshu/SIRL-Gurobi,6,8,correct,correct
p6__chenyitian-shanshu_SIRL-Gurobi__s9,chenyitian-shanshu/SIRL-Gurobi,6,9,loud,loud_bug
p7__chenyitian-shanshu_SIRL-Gurobi__s0,chenyitian-shanshu/SIRL-Gurobi,7,0,loud,loud_bug
p7__chenyitian-shanshu_SIRL-Gurobi__s1,chenyitian-shanshu/SIRL-Gurobi,7,1,code_failure,code_failure
