run_id,model,problem_id,original_problem_id,sample,label,raw_label,final_label,extraction_mode,code_ran,schema_ok,objective_match,has_build_model,failed_checks,failed_requirement_checks,formulation_violations,flagged_formulation_violations,audit_error,prompt_hash,response_time_sec,prompt_eval_count,eval_count,output_truncated,silent_bug_type,silent_bug_requirements,silent_bug_source,report_categories,total_requirement_count,layer1_requirement_count,canonical_layer1_requirement_count,layer2_active_probe_count,total_diagnostic_requirement_count,failed_requirement_check_count,formulation_violation_count,total_violation_count,error_type,error_detail
p1__gemma3_12b__s0,gemma3:12b,1,1,0,loud_bug,loud_bug,loud_bug,clean_fenced,True,True,False,True,"p1.R1.C1,p1.R3.C1,p1.R4.C1,p1.R7.C1,p1.R7.C2","p1.R1.C1,p1.R3.C1,p1.R4.C1",,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,65.391,1402,740,False,,,none,,7,6,6,6,12,3,0,3,,
p1__gemma3_12b__s1,gemma3:12b,1,1,1,code_failure,code_failure,code_failure,clean_fenced,False,False,False,False,,,,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,77.178,1402,728,False,,,none,,,,,,,0,0,0,runtime_error,"Traceback (most recent call last):
  File ""C:\Users\maamr\Desktop\g5\Exp_1\Final_Gemma\execution_workdirs\p1__gemma3_12b__s1\execute_generated.py"", line 48, in <module>
    result = module.solve(data)
             ^^^^^^^^^^^^^^^^^^
  File ""C:\Users\maamr\Desktop\g5\Exp_1\Final_Gemma\execution_workdirs\p1__gemma3_12b__s1\generated_model.py"", line 60, in solve
    model, variables = build_model(data)
                       ^^^^^^^^^^^^^^^^^
  File ""C:\Users\maamr\Desktop\g5\Exp_1\Final_Gemma\execution_workdirs\p1__gemma3_12b__s1\generated_model.py"", line 28, in build_model
    + gp.quicksum(
      ^^^^^^^^^^^^
  File ""src/gurobipy/_helpers.pyx"", line 41, in gurobipy._helpers.quicksum
  File ""C:\Users\maamr\Desktop\g5\Exp_1\Final_Gemma\execution_workdirs\p1__gemma3_12b__s1\generated_model.py"", line 31, in <genexpr>
    if produced[str(i)].x > 0  # Check if the variable is actually used
       ^^^^^^^^^^^^^^^^^^
  File ""src/gurobipy/var.pxi"", line 128, in gurobipy._core.Var.__getattr__
  File ""src/gurobipy/var.pxi"", line 156, in gurobipy._core.Var.getAttr
  File ""src/gurobipy/_attrutil.pyx"", line 119, in gurobipy._attrutil._getattr
AttributeError: Index out of range for attribute 'X'. Did you mean: 'X'?"
p1__gemma3_12b__s2,gemma3:12b,1,1,2,code_failure,code_failure,code_failure,clean_fenced,False,False,False,False,,,,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,80.463,1402,745,False,,,none,,,,,,,0,0,0,runtime_error,"Traceback (most recent call last):
  File ""C:\Users\maamr\Desktop\g5\Exp_1\Final_Gemma\execution_workdirs\p1__gemma3_12b__s2\execute_generated.py"", line 48, in <module>
    result = module.solve(data)
             ^^^^^^^^^^^^^^^^^^
  File ""C:\Users\maamr\Desktop\g5\Exp_1\Final_Gemma\execution_workdirs\p1__gemma3_12b__s2\generated_model.py"", line 63, in solve
    model, variables = build_model(data)
                       ^^^^^^^^^^^^^^^^^
  File ""C:\Users\maamr\Desktop\g5\Exp_1\Final_Gemma\execution_workdirs\p1__gemma3_12b__s2\generated_model.py"", line 32, in build_model
    + gp.quicksum(
      ^^^^^^^^^^^^
  File ""src/gurobipy/_helpers.pyx"", line 41, in gurobipy._helpers.quicksum
  File ""C:\Users\maamr\Desktop\g5\Exp_1\Final_Gemma\execution_workdirs\p1__gemma3_12b__s2\generated_model.py"", line 35, in <genexpr>
    if produced[str(i)].x > 0  # Fixed cost if produced
       ^^^^^^^^^^^^^^^^^^
  File ""src/gurobipy/var.pxi"", line 128, in gurobipy._core.Var.__getattr__
  File ""src/gurobipy/var.pxi"", line 156, in gurobipy._core.Var.getAttr
  File ""src/gurobipy/_attrutil.pyx"", line 119, in gurobipy._attrutil._getattr
AttributeError: Index out of range for attribute 'X'. Did you mean: 'X'?"
p1__gemma3_12b__s3,gemma3:12b,1,1,3,loud_bug,loud_bug,loud_bug,clean_fenced,True,True,False,True,"p1.R1.C1,p1.R3.C1,p1.R4.C1,p1.R7.C1,p1.R7.C2","p1.R1.C1,p1.R3.C1,p1.R4.C1",,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,82.897,1402,740,False,,,none,,7,6,6,6,12,3,0,3,,
p1__gemma3_12b__s4,gemma3:12b,1,1,4,loud_bug,loud_bug,loud_bug,clean_fenced,True,True,False,True,"p1.R1.C1,p1.R3.C1,p1.R4.C1,p1.R7.C1,p1.R7.C2","p1.R1.C1,p1.R3.C1,p1.R4.C1",,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,80.768,1402,740,False,,,none,,7,6,6,6,12,3,0,3,,
p1__gemma3_12b__s5,gemma3:12b,1,1,5,loud_bug,loud_bug,loud_bug,clean_fenced,True,True,False,True,"p1.R1.C1,p1.R3.C1,p1.R4.C1,p1.R7.C1,p1.R7.C2","p1.R1.C1,p1.R3.C1,p1.R4.C1",,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,79.663,1402,740,False,,,none,,7,6,6,6,12,3,0,3,,
p1__gemma3_12b__s6,gemma3:12b,1,1,6,loud_bug,loud_bug,loud_bug,clean_fenced,True,True,False,True,"p1.R1.C1,p1.R3.C1,p1.R4.C1,p1.R7.C1,p1.R7.C2","p1.R1.C1,p1.R3.C1,p1.R4.C1",,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,80.272,1402,740,False,,,none,,7,6,6,6,12,3,0,3,,
p1__gemma3_12b__s7,gemma3:12b,1,1,7,loud_bug,loud_bug,loud_bug,clean_fenced,True,True,False,True,"p1.R1.C1,p1.R3.C1,p1.R4.C1,p1.R7.C1,p1.R7.C2","p1.R1.C1,p1.R3.C1,p1.R4.C1",,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,81.369,1402,740,False,,,none,,7,6,6,6,12,3,0,3,,
p1__gemma3_12b__s8,gemma3:12b,1,1,8,loud_bug,loud_bug,loud_bug,clean_fenced,True,True,False,True,"p1.R1.C1,p1.R3.C1,p1.R4.C1,p1.R7.C1,p1.R7.C2","p1.R1.C1,p1.R3.C1,p1.R4.C1",,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,81.885,1402,740,False,,,none,,7,6,6,6,12,3,0,3,,
p1__gemma3_12b__s9,gemma3:12b,1,1,9,loud_bug,loud_bug,loud_bug,clean_fenced,True,True,False,True,"p1.R1.C1,p1.R3.C1,p1.R4.C1,p1.R7.C1,p1.R7.C2","p1.R1.C1,p1.R3.C1,p1.R4.C1",,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,79.864,1402,740,False,,,none,,7,6,6,6,12,3,0,3,,
