run_id,verifier_model,track,candidate_id,bug_class,actual_mutated_requirement,primary_reported_requirement,diagnostic_only_requirement_ids,primary_exact_without_diagnosis_only,diagnostic_fail_requirement_ids,localization_with_diagnosis_only,added_because_of_diagnosis_only
B__gemma3:12b__mut_p1_R5_domain__r0,gemma3:12b,B,mut_p1_R5_domain,silent,R5,R5,[],True,[],True,False
B__gemma3:12b__mut_p35_Rbinary_y_domain__r0,gemma3:12b,B,mut_p35_Rbinary_y_domain,silent,R_binary_y,R_binary_y,[],True,[],True,False
B__gemma3:12b__mut_p35_Rdemand1_misspec__r0,gemma3:12b,B,mut_p35_Rdemand1_misspec,silent,R_demand_1,R_demand_1,"[""R_binary_y"", ""R_capacity_link_station_2""]",True,"[""R_capacity_link_station_2""]",True,False
B__gemma3:12b__mut_p30_Ryear2_misspec__r0,gemma3:12b,B,mut_p30_Ryear2_misspec,silent,R_year2_budget,R_limit_project2,[],False,[],False,False
B__gemma3:12b__mut_p30_Rlimit2_misspec__r0,gemma3:12b,B,mut_p30_Rlimit2_misspec,silent,R_limit_project2,R_limit_project2,[],True,[],True,False
B__gemma3:12b__mut_p30_Rfinal_misspec__r0,gemma3:12b,B,mut_p30_Rfinal_misspec,silent,R_final_balance,R_limit_project2,[],False,[],False,False
B__gemma3:12b__mut_p3_R7_s2_domain__r0,gemma3:12b,B,mut_p3_R7_s2_domain,silent,R7,R7,[],True,[],True,False
B__gemma3:12b__mut_p3_R2_constraint__r0,gemma3:12b,B,mut_p3_R2_constraint,silent,R2,,[],False,[],False,False
B__gemma3:12b__mut_p3_R9_s2_objective__r0,gemma3:12b,B,mut_p3_R9_s2_objective,loud,R9,,[],False,[],False,False
B__gemma3:12b__mut_p5_R8_sel_calculus_domain__r0,gemma3:12b,B,mut_p5_R8_sel_calculus_domain,silent,R8,R8,[],True,[],True,False
B__gemma3:12b__mut_p5_R3_constraint__r0,gemma3:12b,B,mut_p5_R3_constraint,silent,R3,,[],False,[],False,False
B__gemma3:12b__mut_p5_R9_sel_calculus_objective__r0,gemma3:12b,B,mut_p5_R9_sel_calculus_objective,loud,R9,,[],False,[],False,False
B__gemma3:12b__mut_p6_R_bal_5_constraint__r0,gemma3:12b,B,mut_p6_R_bal_5_constraint,silent,R_bal_5,R_obj,[],False,[],False,False
B__gemma3:12b__mut_p6_R_obj_x_4_1_objective__r0,gemma3:12b,B,mut_p6_R_obj_x_4_1_objective,loud,R_obj,,[],False,[],False,False
B__gemma3:12b__mut_p8_R_obj_s1_objective__r0,gemma3:12b,B,mut_p8_R_obj_s1_objective,loud,R_obj,R_obj,[],True,[],True,False
B__gemma3:12b__mut_p9_R_int_s0_domain__r0,gemma3:12b,B,mut_p9_R_int_s0_domain,silent,R_int,R_int,[],True,[],True,False
B__gemma3:12b__mut_p9_R_day1_constraint__r0,gemma3:12b,B,mut_p9_R_day1_constraint,silent,R_day1,,[],False,[],False,False
