run_id,model,problem_id,original_problem_id,sample,label,raw_label,final_label,extraction_mode,code_ran,schema_ok,objective_match,has_build_model,failed_checks,failed_requirement_checks,formulation_violations,flagged_formulation_violations,audit_error,prompt_hash,response_time_sec,prompt_eval_count,eval_count,output_truncated,silent_bug_type,silent_bug_requirements,silent_bug_source,report_categories,total_requirement_count,layer1_requirement_count,canonical_layer1_requirement_count,layer2_active_probe_count,total_diagnostic_requirement_count,failed_requirement_check_count,formulation_violation_count,total_violation_count,error_type,error_detail
p1__llama3.3_70b__s0,llama3.3:70b,1,1,0,code_failure,code_failure,code_failure,clean_fenced,False,False,False,False,,,,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,59.21,1230,466,False,,,none,,,,,,,0,0,0,runtime_error,"Traceback (most recent call last):
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s0/execute_generated.py"", line 48, in <module>
    result = module.solve(data)
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s0/generated_model.py"", line 27, in solve
    model, _ = build_model(data)
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s0/generated_model.py"", line 22, in build_model
    gp.quicksum(data['fixed'] for i in range(len(data['cap'])) if produced[str(i+1)] > 0))
  File ""src/gurobipy/gurobi.pxi"", line 3842, in gurobipy.quicksum
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s0/generated_model.py"", line 22, in <genexpr>
    gp.quicksum(data['fixed'] for i in range(len(data['cap'])) if produced[str(i+1)] > 0))
TypeError: '>' not supported between instances of 'Var' and 'int'"
p1__llama3.3_70b__s1,llama3.3:70b,1,1,1,code_failure,code_failure,code_failure,clean_fenced,False,False,False,False,,,,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,35.714,1230,556,False,,,none,,,,,,,0,0,0,runtime_error,"Traceback (most recent call last):
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s1/execute_generated.py"", line 48, in <module>
    result = module.solve(data)
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s1/generated_model.py"", line 26, in solve
    model, variables = build_model(data)
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s1/generated_model.py"", line 14, in build_model
    gp.quicksum([data['fixed']*(produced[str(i+1)] > 0) for i in range(len(data['cap']))]))
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s1/generated_model.py"", line 14, in <listcomp>
    gp.quicksum([data['fixed']*(produced[str(i+1)] > 0) for i in range(len(data['cap']))]))
TypeError: '>' not supported between instances of 'Var' and 'int'"
p1__llama3.3_70b__s2,llama3.3:70b,1,1,2,code_failure,code_failure,code_failure,clean_fenced,False,False,False,False,,,,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,38.502,1230,601,False,,,none,,,,,,,0,0,0,runtime_error,"Traceback (most recent call last):
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s2/execute_generated.py"", line 48, in <module>
    result = module.solve(data)
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s2/generated_model.py"", line 26, in solve
    model, variables = build_model(data)
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s2/generated_model.py"", line 14, in build_model
    gp.quicksum([data['fixed']*(produced[str(i+1)] > 0) for i in range(len(data['cap']))]))
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s2/generated_model.py"", line 14, in <listcomp>
    gp.quicksum([data['fixed']*(produced[str(i+1)] > 0) for i in range(len(data['cap']))]))
TypeError: '>' not supported between instances of 'Var' and 'int'"
p1__llama3.3_70b__s3,llama3.3:70b,1,1,3,code_failure,code_failure,code_failure,clean_fenced,False,False,False,False,,,,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,38.305,1230,598,False,,,none,,,,,,,0,0,0,runtime_error,"Traceback (most recent call last):
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s3/execute_generated.py"", line 48, in <module>
    result = module.solve(data)
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s3/generated_model.py"", line 26, in solve
    model, variables = build_model(data)
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s3/generated_model.py"", line 14, in build_model
    gp.quicksum([data['fixed']*(produced[str(i+1)] > 0) for i in range(len(data['cap']))]))
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s3/generated_model.py"", line 14, in <listcomp>
    gp.quicksum([data['fixed']*(produced[str(i+1)] > 0) for i in range(len(data['cap']))]))
TypeError: '>' not supported between instances of 'Var' and 'int'"
p1__llama3.3_70b__s4,llama3.3:70b,1,1,4,code_failure,code_failure,code_failure,clean_fenced,False,False,False,False,,,,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,35.66,1230,556,False,,,none,,,,,,,0,0,0,runtime_error,"Traceback (most recent call last):
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s4/execute_generated.py"", line 48, in <module>
    result = module.solve(data)
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s4/generated_model.py"", line 26, in solve
    model, variables = build_model(data)
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s4/generated_model.py"", line 14, in build_model
    gp.quicksum([data['fixed']*(produced[str(i+1)] > 0) for i in range(len(data['cap']))]))
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s4/generated_model.py"", line 14, in <listcomp>
    gp.quicksum([data['fixed']*(produced[str(i+1)] > 0) for i in range(len(data['cap']))]))
TypeError: '>' not supported between instances of 'Var' and 'int'"
p1__llama3.3_70b__s5,llama3.3:70b,1,1,5,code_failure,code_failure,code_failure,clean_fenced,False,False,False,False,,,,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,36.014,1230,560,False,,,none,,,,,,,0,0,0,runtime_error,"Traceback (most recent call last):
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s5/execute_generated.py"", line 48, in <module>
    result = module.solve(data)
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s5/generated_model.py"", line 26, in solve
    model, variables = build_model(data)
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s5/generated_model.py"", line 14, in build_model
    gp.quicksum([data['fixed']*(produced[str(i+1)] > 0) for i in range(len(data['cap']))]))
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s5/generated_model.py"", line 14, in <listcomp>
    gp.quicksum([data['fixed']*(produced[str(i+1)] > 0) for i in range(len(data['cap']))]))
TypeError: '>' not supported between instances of 'Var' and 'int'"
p1__llama3.3_70b__s6,llama3.3:70b,1,1,6,code_failure,code_failure,code_failure,clean_fenced,False,False,False,False,,,,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,31.237,1230,485,False,,,none,,,,,,,0,0,0,runtime_error,"Traceback (most recent call last):
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s6/execute_generated.py"", line 48, in <module>
    result = module.solve(data)
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s6/generated_model.py"", line 26, in solve
    model, variables = build_model(data)
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s6/generated_model.py"", line 14, in build_model
    gp.quicksum([data['fixed']*(produced[str(i+1)] > 0) for i in range(len(data['cap']))]))
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s6/generated_model.py"", line 14, in <listcomp>
    gp.quicksum([data['fixed']*(produced[str(i+1)] > 0) for i in range(len(data['cap']))]))
TypeError: '>' not supported between instances of 'Var' and 'int'"
p1__llama3.3_70b__s7,llama3.3:70b,1,1,7,code_failure,code_failure,code_failure,clean_fenced,False,False,False,False,,,,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,30.838,1230,481,False,,,none,,,,,,,0,0,0,runtime_error,"Traceback (most recent call last):
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s7/execute_generated.py"", line 48, in <module>
    result = module.solve(data)
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s7/generated_model.py"", line 26, in solve
    model, variables = build_model(data)
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s7/generated_model.py"", line 14, in build_model
    gp.quicksum([data['fixed']*(produced[str(i+1)] > 0) for i in range(len(data['cap']))]))
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s7/generated_model.py"", line 14, in <listcomp>
    gp.quicksum([data['fixed']*(produced[str(i+1)] > 0) for i in range(len(data['cap']))]))
TypeError: '>' not supported between instances of 'Var' and 'int'"
p1__llama3.3_70b__s8,llama3.3:70b,1,1,8,code_failure,code_failure,code_failure,clean_fenced,False,False,False,False,,,,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,35.748,1230,559,False,,,none,,,,,,,0,0,0,runtime_error,"Traceback (most recent call last):
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s8/execute_generated.py"", line 48, in <module>
    result = module.solve(data)
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s8/generated_model.py"", line 26, in solve
    model, variables = build_model(data)
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s8/generated_model.py"", line 14, in build_model
    gp.quicksum([data['fixed']*(produced[str(i+1)] > 0) for i in range(len(data['cap']))]))
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s8/generated_model.py"", line 14, in <listcomp>
    gp.quicksum([data['fixed']*(produced[str(i+1)] > 0) for i in range(len(data['cap']))]))
TypeError: '>' not supported between instances of 'Var' and 'int'"
p1__llama3.3_70b__s9,llama3.3:70b,1,1,9,code_failure,code_failure,code_failure,clean_fenced,False,False,False,False,,,,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,30.867,1230,481,False,,,none,,,,,,,0,0,0,runtime_error,"Traceback (most recent call last):
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s9/execute_generated.py"", line 48, in <module>
    result = module.solve(data)
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s9/generated_model.py"", line 26, in solve
    model, variables = build_model(data)
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s9/generated_model.py"", line 14, in build_model
    gp.quicksum([data['fixed']*(produced[str(i+1)] > 0) for i in range(len(data['cap']))]))
  File ""/project/eick/maamr/sirl_exp1/results/llama33_70b_10samples_ctx8192/execution_workdirs/p1__llama3.3_70b__s9/generated_model.py"", line 14, in <listcomp>
    gp.quicksum([data['fixed']*(produced[str(i+1)] > 0) for i in range(len(data['cap']))]))
TypeError: '>' not supported between instances of 'Var' and 'int'"
