run_id,model,problem_id,sample,final_verdict,source_final_label
p1__gemma3_12b__s0,gemma3:12b,1,0,loud,loud_bug
p1__gemma3_12b__s1,gemma3:12b,1,1,code_failure,code_failure
p1__gemma3_12b__s2,gemma3:12b,1,2,code_failure,code_failure
p1__gemma3_12b__s3,gemma3:12b,1,3,loud,loud_bug
p1__gemma3_12b__s4,gemma3:12b,1,4,loud,loud_bug
p1__gemma3_12b__s5,gemma3:12b,1,5,loud,loud_bug
p1__gemma3_12b__s6,gemma3:12b,1,6,loud,loud_bug
p1__gemma3_12b__s7,gemma3:12b,1,7,loud,loud_bug
p1__gemma3_12b__s8,gemma3:12b,1,8,loud,loud_bug
p1__gemma3_12b__s9,gemma3:12b,1,9,loud,loud_bug
p2__gemma3_12b__s0,gemma3:12b,2,0,loud,loud_bug
p2__gemma3_12b__s1,gemma3:12b,2,1,code_failure,code_failure
p2__gemma3_12b__s2,gemma3:12b,2,2,code_failure,code_failure
p2__gemma3_12b__s3,gemma3:12b,2,3,code_failure,code_failure
p2__gemma3_12b__s4,gemma3:12b,2,4,silent,silent_bug
p2__gemma3_12b__s5,gemma3:12b,2,5,silent,silent_bug
p2__gemma3_12b__s6,gemma3:12b,2,6,silent,silent_bug
p2__gemma3_12b__s7,gemma3:12b,2,7,silent,silent_bug
p2__gemma3_12b__s8,gemma3:12b,2,8,loud,loud_bug
p2__gemma3_12b__s9,gemma3:12b,2,9,silent,silent_bug
p3__gemma3_12b__s0,gemma3:12b,3,0,loud,loud_bug
p3__gemma3_12b__s1,gemma3:12b,3,1,code_failure,code_failure
p3__gemma3_12b__s2,gemma3:12b,3,2,loud,loud_bug
p3__gemma3_12b__s3,gemma3:12b,3,3,loud,loud_bug
p3__gemma3_12b__s4,gemma3:12b,3,4,loud,loud_bug
p3__gemma3_12b__s5,gemma3:12b,3,5,code_failure,code_failure
p3__gemma3_12b__s6,gemma3:12b,3,6,correct,correct
p3__gemma3_12b__s7,gemma3:12b,3,7,code_failure,code_failure
p3__gemma3_12b__s8,gemma3:12b,3,8,code_failure,code_failure
p3__gemma3_12b__s9,gemma3:12b,3,9,code_failure,code_failure
p4__gemma3_12b__s0,gemma3:12b,4,0,loud,loud_bug
p4__gemma3_12b__s1,gemma3:12b,4,1,loud,loud_bug
p4__gemma3_12b__s2,gemma3:12b,4,2,loud,loud_bug
p4__gemma3_12b__s3,gemma3:12b,4,3,loud,loud_bug
p4__gemma3_12b__s4,gemma3:12b,4,4,loud,loud_bug
p4__gemma3_12b__s5,gemma3:12b,4,5,loud,loud_bug
p4__gemma3_12b__s6,gemma3:12b,4,6,loud,loud_bug
p4__gemma3_12b__s7,gemma3:12b,4,7,loud,loud_bug
p4__gemma3_12b__s8,gemma3:12b,4,8,loud,loud_bug
p4__gemma3_12b__s9,gemma3:12b,4,9,loud,loud_bug
p5__gemma3_12b__s0,gemma3:12b,5,0,code_failure,code_failure
p5__gemma3_12b__s1,gemma3:12b,5,1,correct,correct
p5__gemma3_12b__s2,gemma3:12b,5,2,code_failure,code_failure
p5__gemma3_12b__s3,gemma3:12b,5,3,code_failure,code_failure
p5__gemma3_12b__s4,gemma3:12b,5,4,code_failure,code_failure
p5__gemma3_12b__s5,gemma3:12b,5,5,loud,loud_bug
p5__gemma3_12b__s6,gemma3:12b,5,6,code_failure,code_failure
p5__gemma3_12b__s7,gemma3:12b,5,7,code_failure,code_failure
p5__gemma3_12b__s8,gemma3:12b,5,8,loud,loud_bug
p5__gemma3_12b__s9,gemma3:12b,5,9,code_failure,code_failure
p6__gemma3_12b__s0,gemma3:12b,6,0,code_failure,code_failure
p6__gemma3_12b__s1,gemma3:12b,6,1,code_failure,code_failure
p6__gemma3_12b__s2,gemma3:12b,6,2,code_failure,code_failure
p6__gemma3_12b__s3,gemma3:12b,6,3,code_failure,code_failure
p6__gemma3_12b__s4,gemma3:12b,6,4,code_failure,code_failure
p6__gemma3_12b__s5,gemma3:12b,6,5,code_failure,code_failure
p6__gemma3_12b__s6,gemma3:12b,6,6,code_failure,code_failure
p6__gemma3_12b__s7,gemma3:12b,6,7,code_failure,code_failure
p6__gemma3_12b__s8,gemma3:12b,6,8,code_failure,code_failure
p6__gemma3_12b__s9,gemma3:12b,6,9,code_failure,code_failure
p7__gemma3_12b__s0,gemma3:12b,7,0,code_failure,code_failure
p7__gemma3_12b__s1,gemma3:12b,7,1,code_failure,code_failure
p7__gemma3_12b__s2,gemma3:12b,7,2,code_failure,code_failure
p7__gemma3_12b__s3,gemma3:12b,7,3,code_failure,code_failure
p7__gemma3_12b__s4,gemma3:12b,7,4,code_failure,code_failure
p7__gemma3_12b__s5,gemma3:12b,7,5,code_failure,contract_failure
p7__gemma3_12b__s6,gemma3:12b,7,6,code_failure,code_failure
p7__gemma3_12b__s7,gemma3:12b,7,7,code_failure,code_failure
p7__gemma3_12b__s8,gemma3:12b,7,8,code_failure,code_failure
p7__gemma3_12b__s9,gemma3:12b,7,9,code_failure,code_failure
p8__gemma3_12b__s0,gemma3:12b,8,0,code_failure,code_failure
p8__gemma3_12b__s1,gemma3:12b,8,1,code_failure,code_failure
p8__gemma3_12b__s2,gemma3:12b,8,2,code_failure,code_failure
p8__gemma3_12b__s3,gemma3:12b,8,3,code_failure,code_failure
p8__gemma3_12b__s4,gemma3:12b,8,4,code_failure,code_failure
p8__gemma3_12b__s5,gemma3:12b,8,5,code_failure,code_failure
p8__gemma3_12b__s6,gemma3:12b,8,6,code_failure,code_failure
p8__gemma3_12b__s7,gemma3:12b,8,7,code_failure,code_failure
p8__gemma3_12b__s8,gemma3:12b,8,8,code_failure,code_failure
p8__gemma3_12b__s9,gemma3:12b,8,9,code_failure,code_failure
p9__gemma3_12b__s0,gemma3:12b,9,0,loud,loud_bug
p9__gemma3_12b__s1,gemma3:12b,9,1,code_failure,schema_failure
p9__gemma3_12b__s2,gemma3:12b,9,2,loud,loud_bug
p9__gemma3_12b__s3,gemma3:12b,9,3,loud,loud_bug
p9__gemma3_12b__s4,gemma3:12b,9,4,code_failure,schema_failure
p9__gemma3_12b__s5,gemma3:12b,9,5,loud,loud_bug
p9__gemma3_12b__s6,gemma3:12b,9,6,loud,loud_bug
p9__gemma3_12b__s7,gemma3:12b,9,7,loud,loud_bug
p9__gemma3_12b__s8,gemma3:12b,9,8,loud,loud_bug
p9__gemma3_12b__s9,gemma3:12b,9,9,loud,loud_bug
p10__gemma3_12b__s0,gemma3:12b,10,0,code_failure,code_failure
p10__gemma3_12b__s1,gemma3:12b,10,1,code_failure,code_failure
p10__gemma3_12b__s2,gemma3:12b,10,2,correct,correct
p10__gemma3_12b__s3,gemma3:12b,10,3,loud,loud_bug
p10__gemma3_12b__s4,gemma3:12b,10,4,code_failure,code_failure
p10__gemma3_12b__s5,gemma3:12b,10,5,correct,correct
p10__gemma3_12b__s6,gemma3:12b,10,6,code_failure,code_failure
p10__gemma3_12b__s7,gemma3:12b,10,7,code_failure,code_failure
p10__gemma3_12b__s8,gemma3:12b,10,8,code_failure,code_failure
p10__gemma3_12b__s9,gemma3:12b,10,9,code_failure,code_failure
p11__gemma3_12b__s0,gemma3:12b,11,0,code_failure,contract_failure
p11__gemma3_12b__s1,gemma3:12b,11,1,code_failure,ollama_failure
p11__gemma3_12b__s2,gemma3:12b,11,2,code_failure,ollama_failure
p11__gemma3_12b__s3,gemma3:12b,11,3,code_failure,contract_failure
p11__gemma3_12b__s4,gemma3:12b,11,4,code_failure,contract_failure
