run_id,model,problem_id,sample,final_verdict,source_final_label
p1__gpt-5-nano__s0,gpt-5-nano,1,0,silent,silent_bug
p1__gpt-5-nano__s1,gpt-5-nano,1,1,correct,correct
p1__gpt-5-nano__s2,gpt-5-nano,1,2,silent,silent_bug
p1__gpt-5-nano__s3,gpt-5-nano,1,3,loud,loud_bug
p1__gpt-5-nano__s4,gpt-5-nano,1,4,correct,correct
p1__gpt-5-nano__s5,gpt-5-nano,1,5,correct,correct
p1__gpt-5-nano__s6,gpt-5-nano,1,6,correct,correct
p1__gpt-5-nano__s7,gpt-5-nano,1,7,correct,correct
p1__gpt-5-nano__s8,gpt-5-nano,1,8,loud,loud_bug
p1__gpt-5-nano__s9,gpt-5-nano,1,9,silent,silent_bug
p2__gpt-5-nano__s0,gpt-5-nano,2,0,correct,correct
p2__gpt-5-nano__s1,gpt-5-nano,2,1,correct,correct
p2__gpt-5-nano__s2,gpt-5-nano,2,2,correct,correct
p2__gpt-5-nano__s3,gpt-5-nano,2,3,correct,correct
p2__gpt-5-nano__s4,gpt-5-nano,2,4,correct,correct
p2__gpt-5-nano__s5,gpt-5-nano,2,5,loud,loud_bug
p2__gpt-5-nano__s6,gpt-5-nano,2,6,correct,correct
p2__gpt-5-nano__s7,gpt-5-nano,2,7,correct,correct
p2__gpt-5-nano__s8,gpt-5-nano,2,8,code_failure,code_failure
p2__gpt-5-nano__s9,gpt-5-nano,2,9,correct,correct
p3__gpt-5-nano__s0,gpt-5-nano,3,0,correct,correct
p3__gpt-5-nano__s1,gpt-5-nano,3,1,correct,correct
p3__gpt-5-nano__s2,gpt-5-nano,3,2,correct,correct
p3__gpt-5-nano__s3,gpt-5-nano,3,3,loud,loud_bug
p3__gpt-5-nano__s4,gpt-5-nano,3,4,correct,correct
p3__gpt-5-nano__s5,gpt-5-nano,3,5,correct,correct
p3__gpt-5-nano__s6,gpt-5-nano,3,6,correct,correct
p3__gpt-5-nano__s7,gpt-5-nano,3,7,correct,correct
p3__gpt-5-nano__s8,gpt-5-nano,3,8,correct,correct
p3__gpt-5-nano__s9,gpt-5-nano,3,9,correct,correct
p4__gpt-5-nano__s0,gpt-5-nano,4,0,loud,loud_bug
p4__gpt-5-nano__s1,gpt-5-nano,4,1,loud,loud_bug
p4__gpt-5-nano__s2,gpt-5-nano,4,2,loud,loud_bug
p4__gpt-5-nano__s3,gpt-5-nano,4,3,loud,loud_bug
p4__gpt-5-nano__s4,gpt-5-nano,4,4,loud,loud_bug
p4__gpt-5-nano__s5,gpt-5-nano,4,5,loud,loud_bug
p4__gpt-5-nano__s6,gpt-5-nano,4,6,loud,loud_bug
p4__gpt-5-nano__s7,gpt-5-nano,4,7,loud,loud_bug
p4__gpt-5-nano__s8,gpt-5-nano,4,8,loud,loud_bug
p4__gpt-5-nano__s9,gpt-5-nano,4,9,loud,loud_bug
p5__gpt-5-nano__s0,gpt-5-nano,5,0,correct,correct
p5__gpt-5-nano__s1,gpt-5-nano,5,1,correct,correct
p5__gpt-5-nano__s2,gpt-5-nano,5,2,correct,correct
p5__gpt-5-nano__s3,gpt-5-nano,5,3,correct,correct
p5__gpt-5-nano__s4,gpt-5-nano,5,4,correct,correct
p5__gpt-5-nano__s5,gpt-5-nano,5,5,correct,correct
p5__gpt-5-nano__s6,gpt-5-nano,5,6,correct,correct
p5__gpt-5-nano__s7,gpt-5-nano,5,7,correct,correct
p5__gpt-5-nano__s8,gpt-5-nano,5,8,correct,correct
p5__gpt-5-nano__s9,gpt-5-nano,5,9,correct,correct
p6__gpt-5-nano__s0,gpt-5-nano,6,0,correct,correct
p6__gpt-5-nano__s1,gpt-5-nano,6,1,correct,correct
p6__gpt-5-nano__s2,gpt-5-nano,6,2,correct,correct
p6__gpt-5-nano__s3,gpt-5-nano,6,3,correct,correct
p6__gpt-5-nano__s4,gpt-5-nano,6,4,correct,correct
p6__gpt-5-nano__s5,gpt-5-nano,6,5,correct,correct
p6__gpt-5-nano__s6,gpt-5-nano,6,6,correct,correct
p6__gpt-5-nano__s7,gpt-5-nano,6,7,correct,correct
p6__gpt-5-nano__s8,gpt-5-nano,6,8,correct,correct
p6__gpt-5-nano__s9,gpt-5-nano,6,9,correct,correct
p7__gpt-5-nano__s0,gpt-5-nano,7,0,silent,silent_bug
p7__gpt-5-nano__s1,gpt-5-nano,7,1,silent,silent_bug
p7__gpt-5-nano__s2,gpt-5-nano,7,2,loud,loud_bug
p7__gpt-5-nano__s3,gpt-5-nano,7,3,code_failure,contract_failure
p7__gpt-5-nano__s4,gpt-5-nano,7,4,silent,silent_bug
p7__gpt-5-nano__s5,gpt-5-nano,7,5,code_failure,contract_failure
p7__gpt-5-nano__s6,gpt-5-nano,7,6,silent,silent_bug
p7__gpt-5-nano__s7,gpt-5-nano,7,7,silent,silent_bug
p7__gpt-5-nano__s8,gpt-5-nano,7,8,silent,silent_bug
p7__gpt-5-nano__s9,gpt-5-nano,7,9,code_failure,contract_failure
p8__gpt-5-nano__s0,gpt-5-nano,8,0,code_failure,code_failure
p8__gpt-5-nano__s1,gpt-5-nano,8,1,code_failure,code_failure
p8__gpt-5-nano__s2,gpt-5-nano,8,2,correct,correct
p8__gpt-5-nano__s3,gpt-5-nano,8,3,correct,correct
p8__gpt-5-nano__s4,gpt-5-nano,8,4,correct,correct
p8__gpt-5-nano__s5,gpt-5-nano,8,5,correct,correct
p8__gpt-5-nano__s6,gpt-5-nano,8,6,correct,correct
p8__gpt-5-nano__s7,gpt-5-nano,8,7,correct,correct
p8__gpt-5-nano__s8,gpt-5-nano,8,8,code_failure,code_failure
p8__gpt-5-nano__s9,gpt-5-nano,8,9,correct,correct
p9__gpt-5-nano__s0,gpt-5-nano,9,0,correct,correct
p9__gpt-5-nano__s1,gpt-5-nano,9,1,correct,correct
p9__gpt-5-nano__s2,gpt-5-nano,9,2,correct,correct
p9__gpt-5-nano__s3,gpt-5-nano,9,3,correct,correct
p9__gpt-5-nano__s4,gpt-5-nano,9,4,correct,correct
p9__gpt-5-nano__s5,gpt-5-nano,9,5,correct,correct
p9__gpt-5-nano__s6,gpt-5-nano,9,6,correct,correct
p9__gpt-5-nano__s7,gpt-5-nano,9,7,correct,correct
p9__gpt-5-nano__s8,gpt-5-nano,9,8,correct,correct
p9__gpt-5-nano__s9,gpt-5-nano,9,9,correct,correct
p10__gpt-5-nano__s0,gpt-5-nano,10,0,correct,correct
p10__gpt-5-nano__s1,gpt-5-nano,10,1,correct,correct
p10__gpt-5-nano__s2,gpt-5-nano,10,2,correct,correct
p10__gpt-5-nano__s3,gpt-5-nano,10,3,correct,correct
p10__gpt-5-nano__s4,gpt-5-nano,10,4,correct,correct
p10__gpt-5-nano__s5,gpt-5-nano,10,5,correct,correct
p10__gpt-5-nano__s6,gpt-5-nano,10,6,correct,correct
p10__gpt-5-nano__s7,gpt-5-nano,10,7,code_failure,code_failure
p10__gpt-5-nano__s8,gpt-5-nano,10,8,correct,correct
p10__gpt-5-nano__s9,gpt-5-nano,10,9,correct,correct
p11__gpt-5-nano__s0,gpt-5-nano,11,0,loud,loud_bug
p11__gpt-5-nano__s1,gpt-5-nano,11,1,code_failure,code_failure
p11__gpt-5-nano__s2,gpt-5-nano,11,2,loud,loud_bug
p11__gpt-5-nano__s3,gpt-5-nano,11,3,code_failure,code_failure
p11__gpt-5-nano__s4,gpt-5-nano,11,4,correct,correct
p11__gpt-5-nano__s5,gpt-5-nano,11,5,correct,correct
p11__gpt-5-nano__s6,gpt-5-nano,11,6,code_failure,code_failure
p11__gpt-5-nano__s7,gpt-5-nano,11,7,correct,correct
p11__gpt-5-nano__s8,gpt-5-nano,11,8,loud,loud_bug
p11__gpt-5-nano__s9,gpt-5-nano,11,9,correct,correct
p12__gpt-5-nano__s0,gpt-5-nano,12,0,correct,correct
p12__gpt-5-nano__s1,gpt-5-nano,12,1,correct,correct
p12__gpt-5-nano__s2,gpt-5-nano,12,2,correct,correct
p12__gpt-5-nano__s3,gpt-5-nano,12,3,correct,correct
p12__gpt-5-nano__s4,gpt-5-nano,12,4,correct,correct
p12__gpt-5-nano__s5,gpt-5-nano,12,5,correct,correct
p12__gpt-5-nano__s6,gpt-5-nano,12,6,correct,correct
p12__gpt-5-nano__s7,gpt-5-nano,12,7,correct,correct
p12__gpt-5-nano__s8,gpt-5-nano,12,8,correct,correct
p12__gpt-5-nano__s9,gpt-5-nano,12,9,code_failure,code_failure
p13__gpt-5-nano__s0,gpt-5-nano,13,0,correct,correct
p13__gpt-5-nano__s1,gpt-5-nano,13,1,correct,correct
p13__gpt-5-nano__s2,gpt-5-nano,13,2,correct,correct
p13__gpt-5-nano__s3,gpt-5-nano,13,3,code_failure,code_failure
p13__gpt-5-nano__s4,gpt-5-nano,13,4,correct,correct
p13__gpt-5-nano__s5,gpt-5-nano,13,5,correct,correct
p13__gpt-5-nano__s6,gpt-5-nano,13,6,code_failure,code_failure
p13__gpt-5-nano__s7,gpt-5-nano,13,7,correct,correct
p13__gpt-5-nano__s8,gpt-5-nano,13,8,code_failure,code_failure
p13__gpt-5-nano__s9,gpt-5-nano,13,9,correct,correct
p14__gpt-5-nano__s0,gpt-5-nano,14,0,correct,correct
p14__gpt-5-nano__s1,gpt-5-nano,14,1,correct,correct
p14__gpt-5-nano__s2,gpt-5-nano,14,2,correct,correct
p14__gpt-5-nano__s3,gpt-5-nano,14,3,correct,correct
p14__gpt-5-nano__s4,gpt-5-nano,14,4,code_failure,schema_failure
p14__gpt-5-nano__s5,gpt-5-nano,14,5,correct,correct
p14__gpt-5-nano__s6,gpt-5-nano,14,6,correct,correct
p14__gpt-5-nano__s7,gpt-5-nano,14,7,correct,correct
p14__gpt-5-nano__s8,gpt-5-nano,14,8,correct,correct
p14__gpt-5-nano__s9,gpt-5-nano,14,9,correct,correct
p15__gpt-5-nano__s0,gpt-5-nano,15,0,correct,correct
p15__gpt-5-nano__s1,gpt-5-nano,15,1,correct,correct
p15__gpt-5-nano__s2,gpt-5-nano,15,2,code_failure,code_failure
p15__gpt-5-nano__s3,gpt-5-nano,15,3,correct,correct
p15__gpt-5-nano__s4,gpt-5-nano,15,4,correct,correct
p15__gpt-5-nano__s5,gpt-5-nano,15,5,correct,correct
p15__gpt-5-nano__s6,gpt-5-nano,15,6,correct,correct
p15__gpt-5-nano__s7,gpt-5-nano,15,7,correct,correct
p15__gpt-5-nano__s8,gpt-5-nano,15,8,code_failure,code_failure
p15__gpt-5-nano__s9,gpt-5-nano,15,9,code_failure,code_failure
p16__gpt-5-nano__s0,gpt-5-nano,16,0,correct,correct
