run_id,model,problem_id,sample,final_verdict,source_final_label
p1__llama3.3_70b__s0,llama3.3:70b,1,0,code_failure,code_failure
p1__llama3.3_70b__s1,llama3.3:70b,1,1,code_failure,code_failure
p1__llama3.3_70b__s2,llama3.3:70b,1,2,code_failure,code_failure
p1__llama3.3_70b__s3,llama3.3:70b,1,3,code_failure,code_failure
p1__llama3.3_70b__s4,llama3.3:70b,1,4,code_failure,code_failure
p1__llama3.3_70b__s5,llama3.3:70b,1,5,code_failure,code_failure
p1__llama3.3_70b__s6,llama3.3:70b,1,6,code_failure,code_failure
p1__llama3.3_70b__s7,llama3.3:70b,1,7,code_failure,code_failure
p1__llama3.3_70b__s8,llama3.3:70b,1,8,code_failure,code_failure
p1__llama3.3_70b__s9,llama3.3:70b,1,9,code_failure,code_failure
p2__llama3.3_70b__s0,llama3.3:70b,2,0,correct,correct
p2__llama3.3_70b__s1,llama3.3:70b,2,1,correct,correct
p2__llama3.3_70b__s2,llama3.3:70b,2,2,correct,correct
p2__llama3.3_70b__s3,llama3.3:70b,2,3,correct,correct
p2__llama3.3_70b__s4,llama3.3:70b,2,4,correct,correct
p2__llama3.3_70b__s5,llama3.3:70b,2,5,correct,correct
p2__llama3.3_70b__s6,llama3.3:70b,2,6,correct,correct
p2__llama3.3_70b__s7,llama3.3:70b,2,7,correct,correct
p2__llama3.3_70b__s8,llama3.3:70b,2,8,correct,correct
p2__llama3.3_70b__s9,llama3.3:70b,2,9,correct,correct
p3__llama3.3_70b__s0,llama3.3:70b,3,0,silent,silent_bug
p3__llama3.3_70b__s1,llama3.3:70b,3,1,loud,loud_bug
p3__llama3.3_70b__s2,llama3.3:70b,3,2,silent,silent_bug
p3__llama3.3_70b__s3,llama3.3:70b,3,3,silent,silent_bug
p3__llama3.3_70b__s4,llama3.3:70b,3,4,silent,silent_bug
p3__llama3.3_70b__s5,llama3.3:70b,3,5,code_failure,code_failure
p3__llama3.3_70b__s6,llama3.3:70b,3,6,silent,silent_bug
p3__llama3.3_70b__s7,llama3.3:70b,3,7,loud,loud_bug
p3__llama3.3_70b__s8,llama3.3:70b,3,8,silent,silent_bug
p3__llama3.3_70b__s9,llama3.3:70b,3,9,silent,silent_bug
p4__llama3.3_70b__s0,llama3.3:70b,4,0,code_failure,code_failure
p4__llama3.3_70b__s1,llama3.3:70b,4,1,loud,loud_bug
p4__llama3.3_70b__s2,llama3.3:70b,4,2,code_failure,code_failure
p4__llama3.3_70b__s3,llama3.3:70b,4,3,code_failure,code_failure
p4__llama3.3_70b__s4,llama3.3:70b,4,4,code_failure,code_failure
p4__llama3.3_70b__s5,llama3.3:70b,4,5,loud,loud_bug
p4__llama3.3_70b__s6,llama3.3:70b,4,6,loud,loud_bug
p4__llama3.3_70b__s7,llama3.3:70b,4,7,code_failure,code_failure
p4__llama3.3_70b__s8,llama3.3:70b,4,8,code_failure,code_failure
p4__llama3.3_70b__s9,llama3.3:70b,4,9,code_failure,code_failure
p5__llama3.3_70b__s0,llama3.3:70b,5,0,correct,correct
p5__llama3.3_70b__s1,llama3.3:70b,5,1,correct,correct
p5__llama3.3_70b__s2,llama3.3:70b,5,2,correct,correct
p5__llama3.3_70b__s3,llama3.3:70b,5,3,correct,correct
p5__llama3.3_70b__s4,llama3.3:70b,5,4,correct,correct
p5__llama3.3_70b__s5,llama3.3:70b,5,5,correct,correct
p5__llama3.3_70b__s6,llama3.3:70b,5,6,correct,correct
p5__llama3.3_70b__s7,llama3.3:70b,5,7,correct,correct
p5__llama3.3_70b__s8,llama3.3:70b,5,8,correct,correct
p5__llama3.3_70b__s9,llama3.3:70b,5,9,correct,correct
p6__llama3.3_70b__s0,llama3.3:70b,6,0,silent,silent_bug
p6__llama3.3_70b__s1,llama3.3:70b,6,1,silent,silent_bug
p6__llama3.3_70b__s2,llama3.3:70b,6,2,silent,silent_bug
p6__llama3.3_70b__s3,llama3.3:70b,6,3,silent,silent_bug
p6__llama3.3_70b__s4,llama3.3:70b,6,4,code_failure,code_failure
p6__llama3.3_70b__s5,llama3.3:70b,6,5,silent,silent_bug
p6__llama3.3_70b__s6,llama3.3:70b,6,6,silent,silent_bug
p6__llama3.3_70b__s7,llama3.3:70b,6,7,silent,silent_bug
p6__llama3.3_70b__s8,llama3.3:70b,6,8,silent,silent_bug
p6__llama3.3_70b__s9,llama3.3:70b,6,9,code_failure,code_failure
p7__llama3.3_70b__s0,llama3.3:70b,7,0,loud,loud_bug
p7__llama3.3_70b__s1,llama3.3:70b,7,1,code_failure,code_failure
p7__llama3.3_70b__s2,llama3.3:70b,7,2,code_failure,code_failure
p7__llama3.3_70b__s3,llama3.3:70b,7,3,code_failure,code_failure
p7__llama3.3_70b__s4,llama3.3:70b,7,4,code_failure,code_failure
p7__llama3.3_70b__s5,llama3.3:70b,7,5,silent,silent_bug
p7__llama3.3_70b__s6,llama3.3:70b,7,6,loud,loud_bug
p7__llama3.3_70b__s7,llama3.3:70b,7,7,loud,loud_bug
p7__llama3.3_70b__s8,llama3.3:70b,7,8,code_failure,code_failure
p7__llama3.3_70b__s9,llama3.3:70b,7,9,loud,loud_bug
p8__llama3.3_70b__s0,llama3.3:70b,8,0,correct,correct
p8__llama3.3_70b__s1,llama3.3:70b,8,1,correct,correct
p8__llama3.3_70b__s2,llama3.3:70b,8,2,correct,correct
p8__llama3.3_70b__s3,llama3.3:70b,8,3,correct,correct
p8__llama3.3_70b__s4,llama3.3:70b,8,4,correct,correct
p8__llama3.3_70b__s5,llama3.3:70b,8,5,correct,correct
p8__llama3.3_70b__s6,llama3.3:70b,8,6,correct,correct
p8__llama3.3_70b__s7,llama3.3:70b,8,7,correct,correct
p8__llama3.3_70b__s8,llama3.3:70b,8,8,correct,correct
p8__llama3.3_70b__s9,llama3.3:70b,8,9,correct,correct
p9__llama3.3_70b__s0,llama3.3:70b,9,0,correct,correct
p9__llama3.3_70b__s1,llama3.3:70b,9,1,loud,loud_bug
p9__llama3.3_70b__s2,llama3.3:70b,9,2,loud,loud_bug
p9__llama3.3_70b__s3,llama3.3:70b,9,3,loud,loud_bug
p9__llama3.3_70b__s4,llama3.3:70b,9,4,loud,loud_bug
p9__llama3.3_70b__s5,llama3.3:70b,9,5,loud,loud_bug
p9__llama3.3_70b__s6,llama3.3:70b,9,6,correct,correct
p9__llama3.3_70b__s7,llama3.3:70b,9,7,loud,loud_bug
p9__llama3.3_70b__s8,llama3.3:70b,9,8,loud,loud_bug
p9__llama3.3_70b__s9,llama3.3:70b,9,9,loud,loud_bug
p10__llama3.3_70b__s0,llama3.3:70b,10,0,correct,correct
p10__llama3.3_70b__s1,llama3.3:70b,10,1,correct,correct
p10__llama3.3_70b__s2,llama3.3:70b,10,2,correct,correct
p10__llama3.3_70b__s3,llama3.3:70b,10,3,correct,correct
p10__llama3.3_70b__s4,llama3.3:70b,10,4,correct,correct
p10__llama3.3_70b__s5,llama3.3:70b,10,5,correct,correct
p10__llama3.3_70b__s6,llama3.3:70b,10,6,correct,correct
p10__llama3.3_70b__s7,llama3.3:70b,10,7,correct,correct
p10__llama3.3_70b__s8,llama3.3:70b,10,8,correct,correct
p10__llama3.3_70b__s9,llama3.3:70b,10,9,correct,correct
p11__llama3.3_70b__s0,llama3.3:70b,11,0,code_failure,contract_failure
