run_id,model,problem_id,original_problem_id,sample,label,raw_label,final_label,extraction_mode,code_ran,schema_ok,objective_match,has_build_model,failed_checks,failed_requirement_checks,formulation_violations,flagged_formulation_violations,audit_error,prompt_hash,response_time_sec,prompt_eval_count,eval_count,output_truncated,silent_bug_type,silent_bug_requirements,silent_bug_source,report_categories,total_requirement_count,layer1_requirement_count,canonical_layer1_requirement_count,layer2_active_probe_count,total_diagnostic_requirement_count,failed_requirement_check_count,formulation_violation_count,total_violation_count,error_type,error_detail
p1__chenyitian-shanshu_SIRL-Gurobi__s0,chenyitian-shanshu/SIRL-Gurobi,1,1,0,code_failure,code_failure,code_failure,clean_fenced,False,False,False,False,,,,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,189.749,1308,607,False,,,none,,,,,,,0,0,0,runtime_error,"Traceback (most recent call last):
  File ""/project/eick/maamr/sirl_exp1/results/sirl_8bit_full_10samples/execution_workdirs/p1__chenyitian-shanshu_SIRL-Gurobi__s0/execute_generated.py"", line 48, in <module>
    result = module.solve(data)
  File ""/project/eick/maamr/sirl_exp1/results/sirl_8bit_full_10samples/execution_workdirs/p1__chenyitian-shanshu_SIRL-Gurobi__s0/generated_model.py"", line 45, in solve
    model, variables = build_model(data)
  File ""/project/eick/maamr/sirl_exp1/results/sirl_8bit_full_10samples/execution_workdirs/p1__chenyitian-shanshu_SIRL-Gurobi__s0/generated_model.py"", line 31, in build_model
    gp.quicksum(allocation[f""{i}, {j}""] for i in range(1, num_types + 1) for j in range(1, num_types + 1) if cap[i - 1] >= cap[j - 1]),
  File ""src/gurobipy/gurobi.pxi"", line 3842, in gurobipy.quicksum
  File ""/project/eick/maamr/sirl_exp1/results/sirl_8bit_full_10samples/execution_workdirs/p1__chenyitian-shanshu_SIRL-Gurobi__s0/generated_model.py"", line 31, in <genexpr>
    gp.quicksum(allocation[f""{i}, {j}""] for i in range(1, num_types + 1) for j in range(1, num_types + 1) if cap[i - 1] >= cap[j - 1]),
KeyError: '1, 1'"
p1__chenyitian-shanshu_SIRL-Gurobi__s1,chenyitian-shanshu/SIRL-Gurobi,1,1,1,loud_bug,loud_bug,loud_bug,clean_fenced,True,True,False,True,"p1.R1.C1,p1.R2.C1,p1.R3.C1,p1.R4.C1,p1.R5.C1,p1.R6.C1,p1.R7.C1,p1.R7.C2","p1.R1.C1,p1.R2.C1,p1.R3.C1,p1.R4.C1,p1.R5.C1,p1.R6.C1",,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,113.015,1308,590,False,,,none,,7,6,6,6,12,6,0,6,,
p1__chenyitian-shanshu_SIRL-Gurobi__s2,chenyitian-shanshu/SIRL-Gurobi,1,1,2,schema_failure,schema_failure,schema_failure,clean_fenced,True,False,False,True,,,,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,100.707,1308,526,False,,,none,,,,,,,0,0,0,schema_failure,missing required experiment key: status
p1__chenyitian-shanshu_SIRL-Gurobi__s3,chenyitian-shanshu/SIRL-Gurobi,1,1,3,schema_failure,schema_failure,schema_failure,clean_fenced,True,False,False,True,,,,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,98.147,1308,513,False,,,none,,,,,,,0,0,0,schema_failure,missing required experiment key: status
p1__chenyitian-shanshu_SIRL-Gurobi__s4,chenyitian-shanshu/SIRL-Gurobi,1,1,4,schema_failure,schema_failure,schema_failure,clean_fenced,True,False,False,True,,,,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,98.299,1308,514,False,,,none,,,,,,,0,0,0,schema_failure,missing required experiment key: status
p1__chenyitian-shanshu_SIRL-Gurobi__s5,chenyitian-shanshu/SIRL-Gurobi,1,1,5,schema_failure,schema_failure,schema_failure,clean_fenced,True,False,False,True,,,,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,97.481,1308,510,False,,,none,,,,,,,0,0,0,schema_failure,missing required experiment key: status
p1__chenyitian-shanshu_SIRL-Gurobi__s6,chenyitian-shanshu/SIRL-Gurobi,1,1,6,schema_failure,schema_failure,schema_failure,clean_fenced,True,False,False,True,,,,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,97.166,1308,510,False,,,none,,,,,,,0,0,0,schema_failure,missing required experiment key: status
p1__chenyitian-shanshu_SIRL-Gurobi__s7,chenyitian-shanshu/SIRL-Gurobi,1,1,7,schema_failure,schema_failure,schema_failure,clean_fenced,True,False,False,True,,,,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,100.45,1308,530,False,,,none,,,,,,,0,0,0,schema_failure,missing required experiment key: status
p1__chenyitian-shanshu_SIRL-Gurobi__s8,chenyitian-shanshu/SIRL-Gurobi,1,1,8,loud_bug,loud_bug,loud_bug,clean_fenced,True,True,False,True,"p1.R1.C1,p1.R2.C1,p1.R3.C1,p1.R4.C1,p1.R5.C1,p1.R6.C1,p1.R7.C1,p1.R7.C2","p1.R1.C1,p1.R2.C1,p1.R3.C1,p1.R4.C1,p1.R5.C1,p1.R6.C1",,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,108.24,1308,581,False,,,none,,7,6,6,6,12,6,0,6,,
p1__chenyitian-shanshu_SIRL-Gurobi__s9,chenyitian-shanshu/SIRL-Gurobi,1,1,9,loud_bug,loud_bug,loud_bug,clean_fenced,True,True,False,True,"p1.R1.C1,p1.R2.C1,p1.R3.C1,p1.R4.C1,p1.R5.C1,p1.R6.C1,p1.R7.C1,p1.R7.C2","p1.R1.C1,p1.R2.C1,p1.R3.C1,p1.R4.C1,p1.R5.C1,p1.R6.C1",,,,7b8f2f9e2fc982b156775039f06a4cc975127aef503212a8931b5efa7398762b,97.415,1308,529,False,,,none,,7,6,6,6,12,6,0,6,,
